

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.010  000.010: --- NVIM STARTING ---
000.100  000.090: event init
000.499  000.399: early init
019.024  018.525: locale set
019.107  000.083: init first window
019.870  000.764: inits 1
026.373  006.503: window checked
027.137  000.764: parsing arguments
030.878  000.431  000.431: require('vim.shared')
031.676  000.297  000.297: require('vim._meta')
031.688  000.795  000.498: require('vim._editor')
031.693  001.361  000.134: require('vim._init_packages')
031.712  003.215: init lua interpreter
031.994  000.282: expanding arguments
032.035  000.042: inits 2
032.930  000.894: init highlight
032.938  000.008: waiting for UI
033.433  000.495: done waiting for UI
033.495  000.062: clear screen
033.737  000.242: init default mappings & autocommands
072.801  000.118  000.118: sourcing C:\Users\ds13\scoop\apps\neovim-nightly\current\share\nvim\runtime\ftplugin.vim
079.523  000.105  000.105: sourcing C:\Users\ds13\scoop\apps\neovim-nightly\current\share\nvim\runtime\indent.vim
096.788  000.057  000.057: sourcing C:\Users\ds13\AppData\Local\nvim-data\site\pack\packer\start\vim-fugitive\ftdetect\fugitive.vim
097.686  000.069  000.069: sourcing C:\Users\ds13\AppData\Local\nvim-data\site\pack\packer\start\xonsh-vim\ftdetect\xonsh.vim
103.641  011.490  011.364: sourcing C:\Users\ds13\scoop\apps\neovim-nightly\current\share\nvim\runtime\filetype.lua
108.845  000.040  000.040: sourcing C:\Users\ds13\scoop\apps\neovim-nightly\current\share\nvim\runtime\ftplugin.vim
110.006  000.202  000.202: require('utils.Set')
110.019  000.558  000.356: require('constants.env')
110.290  000.257  000.257: require('utils.global')
116.333  000.243  000.243: require('utils.setters')
180.556  070.257  070.014: require('general_settings')
180.999  000.151  000.151: require('config.Commands.utils')
181.333  000.166  000.166: require('config.Commands.choose_and_edit_target')
181.342  000.333  000.168: require('config.Commands.choose_and_edit_configs')
181.526  000.171  000.171: require('config.Commands.profile')
181.732  000.197  000.197: require('config.Commands.utility')
182.357  000.185  000.185: require('utils.file')
182.517  000.150  000.150: require('utils.os')
182.819  000.294  000.294: require('utils.exec')
182.831  000.915  000.285: require('utils')
191.143  002.306  002.306: require('luasnip.loaders._caches')
196.391  002.316  002.316: require('luasnip.session')
196.414  005.255  002.939: require('luasnip.util.util')
198.768  002.349  002.349: require('luasnip.util.path')
198.802  015.965  006.055: require('luasnip.loaders')
198.833  017.093  000.213: require('config.Commands.snippets')
198.839  018.238  000.292: require('config.Commands')
199.211  000.148  000.148: require('autocommands.luasnip')
199.762  000.380  000.380: require('autocommands.utils')
199.846  000.626  000.246: require('autocommands.python')
200.151  000.297  000.297: require('autocommands.filetype_sets')
200.347  000.187  000.187: require('autocommands.highlight_on_yank')
200.531  000.175  000.175: require('autocommands.revisit_last_position_in_file')
200.772  000.232  000.232: require('autocommands.set_format_options')
200.782  001.937  000.273: require('autocommands')
200.947  000.159  000.159: require('config.theme')
201.345  000.157  000.157: require('ds_omega.utils.prequire_plugin')
201.593  000.238  000.238: require('ds_omega.utils.get_plugin_config')
203.531  001.928  001.928: require('ds_omega.utils.apply_plugin_keymappings')
203.827  000.276  000.276: require('ds_omega.utils.simple_plugin_setup')
203.838  002.882  000.282: require('ds_omega.utils')
232.625  002.394  002.394: require('lush.math')
235.927  003.253  003.253: require('lush.vivid.rgb.convert')
235.950  008.428  002.781: require('lush.vivid.hsl.convert')
238.481  002.524  002.524: require('lush.vivid.hsl_like')
238.497  013.340  002.388: require('lush.vivid.hsl.type')
245.527  002.503  002.503: require('lush.vivid.hsluv.lib')
245.544  004.687  002.184: require('lush.vivid.hsluv.convert')
245.556  007.052  002.365: require('lush.vivid.hsluv.type')
245.689  028.501  008.109: require('lush')
252.352  003.357  003.357: require('deadly-gruv.utils')
260.525  001.864  001.864: require('lush.hsl')
263.449  002.911  002.911: require('deadly-gruv.constants')
266.698  003.239  003.239: require('deadly-gruv.colors.color_palette')
270.923  004.212  004.212: require('deadly-gruv.colors.semantic_palette')
273.915  002.977  002.977: require('deadly-gruv.colors.color_harmonies')
278.260  001.951  001.951: require('lush.errors')
278.276  004.349  002.398: require('lush.parser')
278.440  022.725  003.173: require('deadly-gruv.meta_groups.base_and_treesitter')
278.449  026.082  003.356: require('deadly-gruv.meta_groups')
290.434  006.154  006.154: require('deadly-gruv.colors.base_and_treesitter_meta_groups')
290.449  009.173  003.018: require('deadly-gruv.colors')
292.184  013.728  004.556: require('deadly-gruv.base')
298.114  002.834  002.834: require('deadly-gruv.languages.json')
301.082  002.954  002.954: require('deadly-gruv.languages.python')
308.202  003.195  003.195: require('deadly-gruv.plugins.treesitter')
308.404  007.310  004.115: require('deadly-gruv.languages.css')
311.252  002.838  002.838: require('deadly-gruv.languages.lua')
314.325  003.062  003.062: require('deadly-gruv.languages.html')
317.319  002.980  002.980: require('deadly-gruv.languages.typescript')
322.454  005.122  005.122: require('deadly-gruv.languages.typescriptreact')
325.582  003.113  003.113: require('deadly-gruv.languages.markdown')
325.649  033.450  003.237: require('deadly-gruv.languages')
331.624  003.281  003.281: require('deadly-gruv.plugins.bufferline')
334.538  002.902  002.902: require('deadly-gruv.plugins.telescope')
338.142  003.545  003.545: require('deadly-gruv.plugins.dashboard')
341.297  003.140  003.140: require('deadly-gruv.plugins.nvim_ts_rainbow')
344.267  002.957  002.957: require('deadly-gruv.plugins.quick_scope')
347.318  003.041  003.041: require('deadly-gruv.plugins.illuminate')
350.335  003.004  003.004: require('deadly-gruv.plugins.leap')
355.386  005.040  005.040: require('deadly-gruv.plugins.sj')
358.188  002.786  002.786: require('deadly-gruv.plugins.lspsaga')
361.714  003.466  003.466: require('deadly-gruv.plugins.syntax_tree_surfer')
364.460  002.733  002.733: require('deadly-gruv.plugins.neo_tree')
367.365  002.867  002.867: require('deadly-gruv.plugins.diffview')
371.233  003.857  003.857: require('deadly-gruv.plugins.neogit')
371.346  045.688  003.071: require('deadly-gruv.plugins')
371.382  125.687  003.381: require('deadly-gruv')
374.590  002.398  002.398: require('lush.compiler')
376.785  160.303  003.718: sourcing C:\Users\ds13\AppData\Local\nvim-data\site\pack\packer\start\NeoVim__DeadyGruv_theme\colors\deadly-gruv.lua
421.745  041.594  041.594: require('packer.util')
428.768  006.756  006.756: require('packer')
428.782  007.023  000.267: require('utils.core')
429.082  000.292  000.292: require('layers_specification')
447.969  005.745  005.745: require('packer.log')
447.987  011.897  006.152: require('packer.async')
461.234  005.801  005.801: require('packer.result')
461.250  013.257  007.456: require('packer.jobs')
461.265  032.085  006.932: require('packer.plugin_utils')
